,30,160,220,3000
google.com,0.351078888055692,0.1489211119443079,0.5,0
youtube.com,0.2604268504152822,0.2395731495847178,0.5,0
facebook.com,0.2702927468487818,0.2297072531512181,0.5,0
example.com,0.25,0.25,0,0.5
cnn.com,0.4,0.1,0,0.5
youtube.com,0.2604268504152822,0.2395731495847178,0.5,0
facebook.com,0.2702927468487818,0.2297072531512181,0.5,0
example.com,0.25,0.25,0,0.5
cnn.com,0.4,0.1,0,0.5
youtube.com,0.2604268504152822,0.2395731495847178,0.5,0
facebook.com,0.2702927468487818,0.2297072531512181,0.5,0
example.com,0.25,0.25,0,0.5
outlier.com,0,0,0,1
